Time	CellId	RNTI	BWPId	SINR(dB)
7.1427e-05	2	0	0	34.8699
7.1427e-05	4	0	0	-5.3604
7.1427e-05	4	0	0	34.0584
7.1427e-05	4	0	0	35.2209
0.00507143	2	0	0	36.369
0.00507143	4	0	0	2.58055
0.00507143	4	0	0	30.239
0.00507143	4	0	0	28.0734
	2	0	0	36.4736
0.0100714	4	0	0	2.57645
0.0100714	4	0	0	30.2005
0.0100714	4	0	0	27.8368
0.0150714	2	0	0	36.1706
0.0150714	4	0	0	3.04976
0.0150714	4	0	0	30.5948
0.0150714	4	0	0	27.8326
0.0200714	2	0	0	36.2983
0.0200714	4	0	0	2.49524
0.0200714	4	0	0	30.4272
0.0200714	4	0	0	27.8942
0.0250714	2	1	0	35.9537
0.0250714	4	3	0	1.86203
0.0250714	4	2	0	30.4008
0.0250714	4	1	0	27.87
0.0300714	2	1	0	36.3206
0.0300714	4	3	0	0.820418
0.0300714	4	2	0	30.87
0.0300714	4	1	0	27.7417
0.0350714	2	1	0	36.0733
0.0350714	4	3	0	0.964532
0.0350714	4	2	0	30.7084
0.0350714	4	1	0	27.7359
0.0400714	2	1	0	36.2621
0.0400714	4	3	0	1.21316
0.0400714	4	2	0	30.8161
0.0400714	4	1	0	27.7031
0.0450714	2	1	0	36.0431
0.0450714	4	3	0	1.71872
0.0450714	4	2	0	30.9762
0.0450714	4	1	0	27.5329
0.0500714	2	1	0	35.8497
0.0500714	4	3	0	1.99623
0.0500714	4	2	0	30.7721
0.0500714	4	1	0	27.4716
0.0510714	4	3	0	3.526
0.0510714	4	2	0	32.8625
0.0510714	4	1	0	28.0185
0.0550714	2	1	0	35.8528
0.0550714	4	3	0	2.21463
0.0550714	4	2	0	30.5759
0.0550714	4	1	0	27.5191
0.0590714	2	1	0	37.1524
0.0600714	2	1	0	35.6949
0.0600714	4	3	0	2.88618
0.0600714	4	2	0	30.7418
0.0600714	4	1	0	27.5019
0.0610714	4	3	0	4.2442
0.0610714	4	2	0	32.6418
0.0610714	4	1	0	28.0758
0.0650714	2	1	0	35.9168
0.0650714	4	3	0	2.5553
0.0650714	4	2	0	30.8189
0.0650714	4	1	0	27.5674
0.0680714	4	3	0	4.34622
0.0680714	4	2	0	32.8028
0.0680714	4	1	0	28.1015
0.0700714	2	1	0	35.8132
0.0700714	4	3	0	3.28478
0.0700714	4	2	0	30.5993
0.0700714	4	1	0	27.5684
0.0750714	2	1	0	36.0135
0.0750714	4	3	0	3.24989
0.0750714	4	2	0	30.9045
0.0750714	4	1	0	27.555
0.0800714	2	1	0	35.6318
0.0800714	4	3	0	3.9327
0.0800714	4	2	0	30.9576
0.0800714	4	1	0	27.5889
0.0850714	2	1	0	35.8655
0.0850714	4	3	0	3.78903
0.0850714	4	2	0	30.7046
0.0850714	4	1	0	27.7185
0.0900714	2	1	0	35.6578
0.0900714	4	3	0	3.73996
0.0900714	4	2	0	30.676
0.0900714	4	1	0	27.7449
0.0950714	2	1	0	35.8176
0.0950714	4	3	0	3.87357
